env_step,episode,epsilon,episode_reward,total_waiting_time,throughput,loss
48000,66,0.4,-811.6093789823353,158.0,2449,0.03733124956488609
48200,66,0.3975000000000001,-1019.3590542562306,98.0,3540,0.058297716081142426
48400,67,0.3949999999999999,-404.5798363573849,201.0,651,0.07047360390424728
48600,67,0.39249999999999996,-625.5694880373776,166.0,1757,0.08166368305683136
48800,67,0.3899999999999999,-927.7191872484982,225.0,2852,0.02905617654323578
49000,68,0.38749999999999996,-218.659983959049,176.0,31,0.17539173364639282
49200,68,0.385,-535.8796394728124,245.0,1106,0.1748044490814209
49400,68,0.38249999999999995,-754.2093780897558,217.0,2221,0.3514723777770996
49600,68,0.38,-988.4190538786352,205.0,3307,0.019384151324629784
49800,69,0.37749999999999995,-398.1199210062623,260.0,410,0.3382638096809387
50000,69,0.375,-665.0595708265901,287.0,1542,0.5854079723358154
50200,69,0.37250000000000005,-822.6592660322785,201.0,2660,0.017760707065463066
50400,69,0.37,-1089.408947981894,227.0,3772,0.07133913785219193
50600,70,0.36750000000000005,-380.56974708661437,137.0,883,0.02173684351146221
50800,70,0.365,-612.8494831286371,115.0,1989,0.014626426622271538
51000,70,0.36249999999999993,-947.7091942988336,199.0,3095,0.02931564301252365
51200,71,0.36,-244.129902433604,158.0,195,0.02010270208120346
51400,71,0.35749999999999993,-489.93966824933887,151.0,1320,0.03546193987131119
51600,71,0.355,-785.2794404737651,192.0,2439,0.08413761854171753
51800,71,0.35250000000000004,-919.6692133657634,68.0,3538,0.025156289339065552
52000,72,0.35,-309.75981974229217,115.0,652,0.03506774827837944
52200,72,0.34750000000000003,-626.1794767342508,173.0,1759,0.049476508051157
52400,72,0.345,-862.0392308197916,143.0,2870,0.027261873707175255
52600,73,0.3425,-173.7700092457235,130.0,28,0.02036275528371334
52800,73,0.3400000000000001,-418.46987744793296,99.0,1120,0.026241730898618698
53000,73,0.3374999999999999,-737.479576792568,143.0,2219,0.07271789759397507
53200,73,0.33499999999999996,-1042.7093398235738,171.0,3317,0.020532792434096336
53400,74,0.3324999999999999,-313.59997291862965,157.0,419,0.08315125852823257
53600,74,0.32999999999999996,-484.58975906670094,51.0,1546,0.02878386713564396
53800,74,0.3275,-800.7895333319902,87.0,2666,0.040901537984609604
54000,74,0.32499999999999996,-1104.659402564168,105.0,3772,0.01825004816055298
54200,75,0.3225,-338.0798953399062,67.0,881,0.09910839051008224
54400,75,0.31999999999999995,-681.3497150763869,122.0,1994,0.01951751485466957
54600,75,0.3175,-993.6995342597365,148.0,3114,0.1375134289264679
54800,76,0.31500000000000006,-197.1599827092141,96.0,190,0.022887684404850006
55000,76,0.3125,-508.9197655003518,126.0,1319,0.02968403324484825
55200,76,0.30999999999999994,-788.6195738594979,103.0,2443,0.02696177177131176
55400,76,0.3075,-1105.8494332116097,122.0,3539,0.01969221979379654
55600,77,0.30499999999999994,-331.86986714601517,112.0,649,0.10187113285064697
55800,77,0.3025,-687.449682533741,171.0,1776,0.029173176735639572
56000,77,0.29999999999999993,-971.2295172810555,163.0,2859,0.25391650199890137
56200,78,0.2975,-177.57000510953367,135.0,27,0.4716639220714569
56400,78,0.29500000000000004,-403.38979547284544,82.0,1117,0.023752868175506592
56600,78,0.2925,-691.4595929887146,101.0,2220,0.028127972036600113
56800,78,0.29000000000000004,-926.0294019486755,68.0,3312,0.034495241940021515
57000,79,0.2875,-293.86990919336677,146.0,417,0.028241490945219994
57200,79,0.28500000000000003,-537.0696944259107,118.0,1542,0.19537249207496643
57400,79,0.2825,-841.0594133399427,157.0,2658,0.032693371176719666
57600,79,0.2799999999999999,-1052.8890999816358,103.0,3780,0.02215775102376938
57800,80,0.27749999999999997,-304.939790988341,53.0,885,0.01944599486887455
58000,80,0.2749999999999999,-781.489618325606,251.0,1991,0.047024697065353394
58200,80,0.27249999999999996,-906.9493403676897,101.0,3100,0.025518158450722694
58400,81,0.27,-248.75993406400084,162.0,197,0.05441861227154732
58600,81,0.26749999999999996,-536.5196706019342,189.0,1321,0.025267234072089195
58800,81,0.265,-776.1294304095209,171.0,2446,0.023144442588090897
59000,81,0.26249999999999996,-969.0491400919855,110.0,3543,0.14236049354076385
59200,82,0.26,-311.2198343742639,123.0,651,0.10710210353136063
59400,82,0.25750000000000006,-595.4395132530481,150.0,1758,0.01173107884824276
59600,82,0.255,-887.8592415321618,178.0,2866,0.01766907051205635
59800,83,0.25249999999999995,-148.059992602095,112.0,30,0.023090900853276253
60000,83,0.25,-478.61967640183866,183.0,1126,0.03471018373966217
60200,83,0.24749999999999994,-652.5494077708572,95.0,2219,0.013877195306122303
60400,83,0.245,-1045.3190901782364,225.0,3316,0.016252346336841583
60600,84,0.24249999999999994,-264.9398619476706,121.0,417,0.0123712457716465
60800,84,0.24,-567.2896184269339,146.0,1543,0.026723358780145645
61000,84,0.23750000000000004,-826.319334441796,132.0,2666,0.03263068199157715
61200,84,0.235,-1081.6090549770743,122.0,3774,0.3029765188694
61400,85,0.23250000000000004,-402.6098009571433,145.0,879,0.027981657534837723
61600,85,0.22999999999999998,-691.0395189747214,167.0,1992,0.2660793960094452
61800,85,0.22750000000000004,-876.0093051418662,76.0,3105,0.018686342984437943
